nome	issn1	issn2
ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)	01026720	23176326
Acta Amazonica	00445967	18094392
Acta Botanica Brasilica	ISSN printed version: 01023306	ISSN online version: 1677941X
Acta Cirurgica Brasileira	01028650	16782674
Acta Limnologica Brasiliensia	2179975X	NA
Acta Ortopédica Brasileira	14137852	18094406
Acta Paulista de Enfermagem	01032100	19820194
Acta Scientiarum. Agronomy	16799275	18078621
Acta Scientiarum. Animal Sciences	18062636	18078672
Ágora	NA	NA
Alea	NA	NA
Alfa	NA	NA
Almanack	22364633	NA
Ambiente & Sociedade	1414753X	18094422
Ambiente Construído	14158876	16788621
Anais Brasileiros de Dermatologia	ISSN printed version: 03650596	ISSN online version: 18064841
Anais da Academia Brasileira de Ciências	ISSN printed version: 00013765	ISSN online version: 16782690
Anais do Museu Paulista	NA	NA
Archives of Clinical Psychiatry (São Paulo)	01016083	1806938X
Archives of Endocrinology and Metabolism	23593997	23594292
Arquivo Brasileiro de Medicina Veterinária e Zootecnia	01020935	16784162
Arquivos Brasileiros de Cardiologia	0066782X	16784170
Arquivos Brasileiros de Oftalmologia	00042749	16782925
Arquivos de Gastroenterologia	00042803	16784219
Arquivos de Neuro-Psiquiatria	ISSN printed version: 0004282X	ISSN online version: 16784227
Arquivos do Instituto Biológico	00203653	18081657
ARS (São Paulo)	16785320	21780447
Audiology - Communication Research	23176431	NA
Avaliação	NA	NA
Bakhtiniana	NA	NA
BAR - Brazilian Administration Review	18077692	NA
BBR. Brazilian Business Review	18082386	NA
Biota Neotropica	16760611	NA
Bolema	NA	NA
Boletim de Ciências Geodésicas	14134853	19822170
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas	19818122	21782547
Bragantia	00068705	16784499
Brazilian Archives of Biology and Technology	15168913	16784324
Brazilian Dental Journal	01036440	18064760
Brazilian Journal of Biology	15196984	16784375
Brazilian Journal of Cardiovascular Surgery	01027638	16789741
Brazilian Journal of Chemical Engineering	01046632	16784383
Brazilian Journal of Food Technology	19816723	NA
Brazilian Journal of Geology	23174889	23174692
Brazilian Journal of Infectious Diseases	14138670	16784391
Brazilian Journal of Medical and Biological Research	0100879X	1414431X
Brazilian Journal of Microbiology	15178382	16784405
Brazilian Journal of Nephrology	01012800	21758239
Brazilian Journal of Oceanography	16798759	1982436X
Brazilian Journal of Otorhinolaryngology	18088694	18088686
Brazilian Journal of Pharmaceutical Sciences	21759790	NA
Brazilian Journal of Political Economy	ISSN printed version: 01013157	ISSN online version: 18094538
Brazilian Journal of Poultry Science	1516635X	18069061
Brazilian Journal of Psychiatry	15164446	1809452X
Brazilian Oral Research	18068324	18073107
Brazilian Political Science Review	19813821	NA
BrJP	25950118	25953192
Caderno CRH	01034979	19838239
Cadernos Brasileiros de Terapia Ocupacional	25268910	NA
Cadernos CEDES	01013262	16787110
Cadernos de Pesquisa	01001574	19805314
Cadernos de Saúde Pública	0102311X	16784464
Cadernos de Tradução	1414526X	21757968
Cadernos EBAPE.BR	16793951	NA
Cadernos Metrópole	15172422	22369996
Cadernos Nietzsche	14137755	23168242
Cadernos Pagu	01048333	18094449
Cadernos Saúde Coletiva	1414462X	2358291X
Cerâmica	03666913	16784553
CERNE	01047760	23176342
Ciência & Educação (Bauru)	15167313	1980850X
Ciência & Saúde Coletiva	14138123	16784561
Ciência Animal Brasileira	15182797	18096891
Ciência e Agrotecnologia	14137054	19811829
Ciência Florestal	01039954	19805098
Ciência Rural	01038478	16784596
Civitas - Revista de Ciências Sociais	15196089	19847289
Clinics	18075932	19805322
CoDAS	ISSN online version: 23171782	NA
Contexto Internacional	01028529	19820240
Crop Breeding and Applied Biotechnology	15187853	19847033
Dados - Revista de Ciências Sociais	ISSN printed version: 00115258	ISSN online version: 16784588
DELTA	NA	NA
Dementia & Neuropsychologia	19805764	19805764
Dental Press Journal of Orthodontics	21769451	21776709
Economia e Sociedade	01040618	19823533
Educação & Realidade	01003143	21756236
Educação & Sociedade	16784626	NA
Educação e Pesquisa	15179702	16784634
Educação em Revista	01024698	19826621
Educar em Revista	01044060	19840411
Einstein (São Paulo)	16794508	23176385
Engenharia Agrícola	ISSN printed version: 01006916	ISSN online version: 18094430
Engenharia Sanitaria e Ambiental	14134152	18094457
Ensaio	NA	NA
Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)	ISSN online version: 19832117	NA
Epidemiologia e Serviços de Saúde	16794974	22379622
Escola Anna Nery	14148145	21779465
Estudos Avançados	01034014	18069592
Estudos de Literatura Brasileira Contemporânea	15180158	23164018
Estudos de Psicologia (Campinas)	0103166X	19820275
Estudos Econômicos (São Paulo)	01014161	19805357
Estudos Históricos (Rio de Janeiro)	01032186	21781494
Fisioterapia e Pesquisa	18092950	23169117
Fisioterapia em Movimento	19805918	NA
Floresta e Ambiente	14150980	21798087
Food Science and Technology	01012061	1678457X
Fractal	NA	NA
Galáxia (São Paulo)	1519311X	19822553
Genetics and Molecular Biology	14154757	16784685
Gestão & Produção	0104530X	18069649
Hematology, Transfusion and Cell Therapy	25311379	25311387
História (São Paulo)	01019074	19804369
História da Educação	14143518	22363459
História, Ciências, Saúde-Manguinhos	01045970	16784758
Hoehnea	00732877	22368906
Horizontes Antropológicos	01047183	18069983
Horticultura Brasileira	01020536	18069991
Iheringia. Série Zoologia	00734721	16784766
Ilha do Desterro	01014846	21758026
Interações (Campo Grande)	15187012	1984042X
Intercom	NA	NA
Interface - Comunicação, Saúde, Educação	14143283	18075762
International Archives of Otorhinolaryngology	ISSN printed version: 18099777	ISSN online version: 18094864
International braz j urol	16775538	16776119
International Journal of Cardiovascular Sciences	23594802	23595647
JISTEM - Journal of Information Systems and Technology Management	18071775	NA
Jornal Brasileiro de Patologia e Medicina Laboratorial	16762444	16784774
Jornal Brasileiro de Pneumologia	18063756	NA
Jornal Brasileiro de Psiquiatria	00472085	19820208
Jornal de Pediatria-w	00217557	16784782
Jornal Vascular Brasileiro	16775449	16777301
Journal of Aerospace Technology and Management	21759146	NA
Journal of Applied Oral Science	16787757	16787765
Journal of Coloproctology (Rio de Janeiro)	22379363	23176423
Journal of Inborn Errors of Metabolism and Screening	ISSN online version: 23264594	NA
Journal of Microwaves, Optoelectronics and Electromagnetic Applications	21791074	NA
Journal of Physical Education	24482455	NA
Journal of Seed Science	23171537	23171545
Journal of the Brazilian Chemical Society	01035053	16784790
Journal of Venomous Animals and Toxins including Tropical Diseases	16789199	NA
Kriterion	NA	NA
Latin American Journal of Solids and Structures	16797817	16797825
Letras de Hoje	01013335	19847726
Linguagem em (Dis)curso	19824017	NA
Lua Nova	NA	NA
Machado de Assis em Linha	19836821	NA
Mana - Estudos de Antropologia Social	01049313	16784944
Manuscrito	01006045	2317630X
Matéria (Rio de Janeiro)	ISSN online version: 15177076	NA
Materials Research	15161439	19805373
MedicalExpress	23188111	23580429
Memórias do Instituto Oswaldo Cruz	00740276	16788060
Mercator (Fortaleza)	16768329	19842201
Motriz	NA	NA
Nauplius	23582936	NA
Neotropical Ichthyology	ISSN printed version: 16796225	ISSN online version: 19820224
Nova Economia	01036351	19805381
Novos estudos CEBRAP	01013300	19805403
Opinião Pública	01046276	18070191
Organizações & Sociedade	1413585X	19849230
Ornamental Horticulture	2447536X	NA
Paidéia (Ribeirão Preto)	0103863X	19824327
Pandaemonium Germanicum	14141906	19828837
Papéis Avulsos de Zoologia	00311049	18070205
Perspectivas em Ciência da Informação	14139936	19815344
Pesquisa Agropecuária Brasileira	0100204X	16783921
Pesquisa Agropecuária Tropical	15176398	19834063
Pesquisa Operacional	01017438	16785142
Pesquisa Veterinária Brasileira	0100736X	16785150
Physis	NA	NA
Planta Daninha	01008358	18069681
Polímeros	01041428	16785169
Pro-Posições	19806248	NA
Production	01036513	19805411
Psico-USF	14138271	21753563
Psicologia	NA	NA
Psicologia & Sociedade	18070310	NA
Psicologia em Estudo	14137372	18070329
Psicologia Escolar e Educacional	21753539	NA
Psicologia USP	01036564	16785177
Química Nova	01004042	16787064
Radiologia Brasileira	16787099	NA
RAM. Revista de Administração Mackenzie	16786971	NA
RAUSP Management Journal	25310488	NA
RBRH	1414381X	23180331
REAd. Revista Eletrônica de Administração (Porto Alegre)	19804164	14132311
Religião & Sociedade	19840438	NA
REM - International Engineering Journal	2448167X	NA
REMHU	NA	NA
Research on Biomedical Engineering	24464732	24464740
Revista Ambiente & Água	1980993X	NA
Revista Árvore	01006762	18069088
Revista Bioética	19838042	19838034
Revista Brasileira de Anestesiologia	00347094	1806907X
Revista Brasileira de Ciência do Solo	18069657	NA
Revista Brasileira de Ciência Política	01033352	21784884
Revista Brasileira de Ciências do Esporte	01013289	21793255
Revista Brasileira de Ciências Sociais	01026909	18069053
Revista Brasileira de Cineantropometria & Desempenho Humano	14158426	19800037
Revista Brasileira de Economia	00347140	18069134
Revista Brasileira de Educação	14132478	1809449X
Revista Brasileira de Educação Especial	14136538	19805470
Revista Brasileira de Educação Médica	01005502	19815271
Revista Brasileira de Enfermagem	ISSN printed version: 00347167	ISSN online version: 19840446
Revista Brasileira de Engenharia Agrícola e Ambiental	14154366	18071929
Revista Brasileira de Ensino de Física	18061117	18069126
Revista Brasileira de Entomologia	18069665	NA
Revista Brasileira de Epidemiologia	1415790X	19805497
Revista Brasileira de Estudos da Presença	22372660	NA
Revista Brasileira de Estudos de População	01023098	19805519
Revista Brasileira de Estudos Pedagógicos	00347183	21766681
Revista Brasileira de Estudos Urbanos e Regionais	15174115	23171529
Revista Brasileira de Farmacognosia	0102695X	1981528X
Revista Brasileira de Fruticultura	ISSN printed version: 01002945	ISSN online version: 18069967
Revista Brasileira de Geriatria e Gerontologia	18099823	19812256
Revista Brasileira de Gestão de Negócios	18064892	19830807
Revista Brasileira de Ginecologia e Obstetrícia	01007203	18069339
Revista Brasileira de História	01020188	18069347
Revista Brasileira de História da Educação	15195902	22380094
Revista Brasileira de Linguística Aplicada	19846398	NA
Revista Brasileira de Medicina do Esporte	15178692	18069940
Revista Brasileira de Meteorologia	01027786	19824351
Revista Brasileira de Oftalmologia	00347280	19828551
Revista Brasileira de Ortopedia	01023616	19824378
Revista Brasileira de Parasitologia Veterinária	0103846X	19842961
Revista Brasileira de Pesquisa em Turismo	19826125	NA
Revista Brasileira de Política Internacional	00347329	19833121
Revista Brasileira de Reumatologia	04825004	18094570
Revista Brasileira de Saúde e Produção Animal	15199940	NA
Revista Brasileira de Saúde Materno Infantil	15193829	18069304
Revista Brasileira de Saúde Ocupacional	03037657	23176369
Revista Brasileira de Terapia Intensiva	0103507X	19824335
Revista Brasileira de Zootecnia	15163598	18069290
Revista Caatinga	0100316X	19832125
Revista CEFAC	15161846	19820216
Revista Ceres	0034737X	21773491
Revista Ciência Agronômica	00456888	18066690
Revista Contabilidade & Finanças	ISSN printed version: 15197077	ISSN online version: 1808057X
Revista da Associação Médica Brasileira	01044230	18069282
Revista da Escola de Enfermagem da USP	00806234	1980220X
Revista da Sociedade Brasileira de Medicina Tropical	00378682	16789849
Revista de Administração Contemporânea	14156555	19827849
Revista de Administração de Empresas	00347590	2178938X
Revista de Administração Pública	00347612	19823134
Revista de Economia Contemporânea	19805527	NA
Revista de Economia e Sociologia Rural	01032003	18069479
Revista de História (São Paulo)	00348309	23169141
Revista de Investigações Constitucionais	23595639	NA
Revista de Nutrição	14155273	16789865
Revista de Odontologia da UNESP	01011774	18072577
Revista de Saúde Pública	00348910	15188787
Revista de Sociologia e Política	01044478	16789873
Revista Direito e Práxis	21798966	NA
Revista Direito GV	23176172	NA
Revista do Colégio Brasileiro de Cirurgiões	01006991	18094546
Revista do Instituto de Estudos Brasileiros	00203874	2316901X
Revista do Instituto de Medicina Tropical de São Paulo	16789946	NA
Revista Estudos Feministas	0104026X	18069584
Revista Gaúcha de Enfermagem	01026933	19831447
Revista IBRACON de Estruturas e Materiais	19834195	NA
Revista Katálysis	19820259	NA
Revista Latino-Americana de Enfermagem	15188345	NA
Revista Latinoamericana de Psicopatologia Fundamental	14154714	19840381
Revista Paulista de Pediatria	ISSN printed version: 01030582	ISSN online version: 19840462
RGO - Revista Gaúcha de Odontologia	01036971	19818637
Rodriguésia	03706583	21757860
Sao Paulo Medical Journal	15163180	18069460
Saúde e Sociedade	01041290	19840470
Saúde em Debate	01031104	23582898
Scientia Agricola	1678992X	NA
Sequência (Florianópolis)	01019562	21777055
Serviço Social & Sociedade	01016628	23176318
Sexualidad, Salud y Sociedad (Rio de Janeiro)	19846487	NA
Sociedade e Estado	01026992	19805462
Sociologia & Antropologia	22367527	22383875
Sociologias	15174522	18070337
Soldagem & Inspeção	01049224	19806973
Summa Phytopathologica	01005405	19805454
TEMA (São Carlos)	16771966	21798451
Tempo	14137704	1980542X
Tempo Social	01032070	18094554
Texto & Contexto - Enfermagem	01040707	1980265X
Topoi (Rio de Janeiro)	15183319	2237101X
Trabalho, Educação e Saúde	16781007	19817746
Trabalhos em Linguística Aplicada	2175764X	NA
Transinformação	01033786	23180889
Trends in Psychiatry and Psychotherapy	22376089	22380019
Trends in Psychology	23581883	NA
urbe. Revista Brasileira de Gestão Urbana	21753369	NA
Varia Historia	01048775	19824343
Vibrant	NA	NA
Zoologia (Curitiba)	19844670	19844689
